school_year,school_level_id,veracross_course_id,class_id,description,veracross_teacher_fk,begin_date,end_date,grading_period_group_id,grading_method_id,grade_conversion_scale_id,term_credit_hours,room_id,homeroom_class_internal_id,student_group,virtual_meeting_url,class_notes
2024,4,376,3238-S1,German Ab Initio SL - s1,101481,,,2,1,,,16,,,,
2024,4,404,1072-S1,German - PSL - s1,101481,,,2,1,,,16,,,,
2024,4,406,3183-S1,German Ab Initio PSL - s1,101481,,,2,1,,,16,,,,
2024,4,405,1074-S1,German - SL - s1,101481,,,2,1,,,16,,,,
2024,4,225,3325-S1,German - 9 Emergent - s1,101481,,,2,1,,,16,,,,
2024,4,223,3323-S1,German - 10 Emergent - s1,101481,,,2,1,,,16,,,,
2024,4,309,3288-S1,Mathematics Analysis & Approaches - HL - s1,101946,,,2,1,,,172,,,,
2024,4,310,3289-S1,Mathematics Analysis & Approaches - SL - s1,101564,,,2,1,,,145,,,,
2024,4,310,3289-S2,Mathematics Analysis & Approaches - SL - s2,101564,,,2,1,,,145,,,,
2024,4,415,3381-S5,CAS / Social & Environmental Experience - 11 - s5,101496,,,2,1,,,160,,,,
2024,4,415,3381-S6,CAS / Social & Environmental Experience - 11 - s6,101496,,,2,1,,,148,,,,
2024,4,396,2707-S1,Korean B - HL - s1,101357,,,2,1,,,102,,,,
2024,4,391,1914-S1,Hindi - SL - s1,101445,,,2,1,,,155,,,,
2024,4,276,3151-S1,Computer Science - HL - s1,101929,,,2,1,,,12,,,,
2024,4,275,3194-S1,Computer Science - PHL - s1,101929,,,2,1,,,12,,,,
2024,4,279,2930-S1,Language A - Korean PHL - s1,101357,,,2,1,,,102,,,,
2024,4,211,3440-S2,Science 9 - Biology - s2,101233,,,2,1,,,169,,,,
2024,4,211,3440-S1,Science 9 - Biology - s1,101463,,,2,1,,,10,,,,
2024,4,415,3381-S2,CAS / Social & Environmental Experience - 11 - s2,101496,,,2,1,,,160,,,,
2024,4,385,1896-S1,French - PSL - s1,101930,,,2,1,,,11,,,,
2024,4,200,2920-S2,Life & Teachings of Jesus Christ - s2,101237,,,2,1,,,5,,,,
2024,4,200,2920-S1,Life & Teachings of Jesus Christ - s1,101237,,,2,1,,,5,,,,
2024,4,274,3193-S1,Computer Science - PSL - s1,101929,,,2,1,,,12,,,,
2024,4,387,1902-S1,German - PHL - s1,101481,,,2,1,,,16,,,,
2024,4,136,2458-S1,Visual Arts - 9 - s1,101523,,,2,1,,,4,,,,
2024,4,311,3290-S1,Mathematics Application & Interpretation - SL - s1,101430,,,2,1,,,146,,,,
2024,4,285,3425-S2,English A: Language & Literature SL - s2,101945,,,2,1,,,19,,,,
2024,4,285,3425-S3,English A: Language & Literature SL - s3,101945,,,2,1,,,19,,,,
2024,4,283,3423-S2,English A: Language & Literature PHL - s2,101945,,,2,1,,,19,,,,
2024,4,283,3423-S1,English A: Language & Literature PHL - s1,101478,,,2,1,,,18,,,,
2024,4,363,1890-S1,Physics - PSL - s1,101944,,,2,1,,,167,,,,
2024,4,361,1887-S1,Physics - HL - s1,101477,,,2,1,,,168,,,,
2024,4,362,1889-S1,Physics - PHL - s1,101944,,,2,1,,,167,,,,
2024,4,423,3312-S1,Global Politics - HL - s1,101535,,,2,1,,,164,,,,
2024,4,422,3302-S1,Global Politics - PHL - s1,101535,,,2,1,,,164,,,,
2024,4,421,3301-S1,Global Politics - PSL - s1,101535,,,2,1,,,164,,,,
2024,4,424,3313-S1,Global Politics - SL - s1,101535,,,2,1,,,164,,,,
2024,4,435,3142-S2,Economics - HL - s2,101286,,,2,1,,,160,,,,
2024,4,435,3142-S1,Economics - HL - s1,101286,,,2,1,,,160,,,,
2024,4,426,3185-S2,Economics - PSL - s2,101286,,,2,1,,,160,,,,
2024,4,438,3145-S1,Psychology HL - s1,101403,,,2,1,,,161,,,,
2024,4,439,3146-S1,Psychology SL - s1,101403,,,2,1,,,161,,,,
2024,4,431,3192-S2,Psychology PHL - s2,101403,,,2,1,,,161,,,,
2024,4,431,3192-S1,Psychology PHL - s1,101403,,,2,1,,,161,,,,
2024,4,436,3143-S1,History - SL - s1,101476,,,2,1,,,154,,,,
2024,4,437,3144-S1,History - HL - s1,101476,,,2,1,,,154,,,,
2024,4,290,3413-S1,Visual Arts - SL - s1,101202,,,2,1,,,27,,,,
2024,4,288,3396-S1,Visual Arts - HL - s1,101202,,,2,1,,,27,,,,
2024,4,289,3398-S1,Visual Arts - PSL - s1,101202,,,2,1,,,27,,,,
2024,4,442,3397-S1,Visual Arts - PHL - s1,101202,,,2,1,,,27,,,,
2024,4,313,3335-S1,Music - PSL - s1,101190,,,2,1,,,,,,,
2024,4,314,3336-S1,Music - PHL - s1,101190,,,2,1,,,,,,,
2024,4,293,3202-S1,Theatre PHL - s1,101354,,,2,1,,,180,,,,
2024,4,294,3203-S1,Theatre PSL - s1,101354,,,2,1,,,180,,,,
2024,4,291,3200-S1,Theatre HL - s1,101354,,,2,1,,,180,,,,
2024,4,292,3201-S1,Theatre SL - s1,101354,,,2,1,,,180,,,,
2024,4,440,1642-S1,Theory of Knowledge - I - s1,101286,,,2,1,,,160,,,,
2024,4,440,1642-S4,Theory of Knowledge - I - s4,101944,,,2,1,,,167,,,,
